codigo_super_cias,codigo_sri,nombre_cuenta,nombre_sri,depreciacion
10102030214,328,FACTURAS COMERCIALES NEGOCIABLES,A costo amortizado,
10102030215,328,OVERNIGHTS,A costo amortizado,
10102030216,328,OBLIGACIONES CONVERTIBLES EN ACCIONES,A costo amortizado,
10102030217,328,PAPEL COMERCIAL,A costo amortizado,
10102030218,328,PAGARÉS,A costo amortizado,
10102030219,328,PÓLIZAS DE ACUMULACIÓN,A costo amortizado,
10102030220,328,TÍTULOS DEL BANCO CENTRAL,A costo amortizado,
10102030221,328,VALORES DE TITULARIZACIÓN,A costo amortizado,
10102030222,328,INVERSIONES EN EL EXTERIOR,A costo amortizado,
10102030223,328,OTROS,,
1010204,,PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS,,
101020401,329,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,(-) Deterioro acumulado del valor  de otros activos financieros corrientes medidos a costo amortizado  (provisiones para créditos incobrables),
101020402,329,ACTIVOS FINANCIEROS AL COSTO AMORTIZADO,(-) Deterioro acumulado del valor  de otros activos financieros corrientes medidos a costo amortizado  (provisiones para créditos incobrables),
101020403,329,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,(-) Deterioro acumulado del valor  de otros activos financieros corrientes medidos a costo amortizado  (provisiones para créditos incobrables),
1010205,,DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR NO RELACIONADOS,,
101020501,,DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES,,
10102050101,315,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Locales,
10102050101,316,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Del exterior,
10102050102,322,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Locales,
10102050102,323,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Del exterior,
101020502,,DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES,,
10102050201,315,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Locales,
10102050201,316,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Del exterior,
10102050202,322,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Locales,
10102050202,323,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Del exterior,
10102050203,325,CUENTAS POR COBRAR AL ORIGINADOR,Locales,
10102050204,325,COMISIONES POR OPERACIONES  BURSÁTILES,Locales,
10102050207,325,CONTRATO DE UNDERWRITING,Locales,
10102050208,325,POR  ADMINISTRACIÓN Y MANEJO DE PORTAFOLIOS DE TERCEROS,Locales,
10102050209,325,POR ADMINISTRACIÓN Y MANEJO DE FONDOS ADMINISTRADOS,Locales,
10102050210,325,POR ADMINISTRACIÓN Y MANEJO DE NEGOCIOS FIDUCIARIOS,Locales,
10102050211,325,POR CUSTODIA Y CONSERVACIÓN DE VALORES MATERIALIZADOS,Locales,
10102050212,325,POR CUSTODIA Y CONSERVACIÓN DE VALORES DESMATERIALIZADOS,Locales,
10102050213,325,POR MANEJO DE LIBRO DE ACCIONES Y ACCIONISTAS,Locales,
10102050214,325,POR ASESORÍA,Locales,
10102050215,320,DIVIDENDOS POR COBRAR,En efectivo,
10102050216,325,INTERESES POR COBRAR,Locales,
10102050217,325,DEUDORES POR INTERMEDIACIÓN DE VALORES,Locales,
10102050218,325,ANTICIPO A COMITENTES,Locales,
10102050219,325,ANTICIPO A CONSTRUCTOR POR AVANCE DE OBRA,Locales,
10102050220,325,DERECHOS POR COMPROMISO DE RECOMPRA,Locales,
10102050221,325,OTRAS CUENTAS POR COBRAR NO RELACIONADAS,Locales,
