codigo_super_cias,etiqueta,actividad,columna,categoria
1020203,(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
1020204,(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
1020301,ANIMALES VIVOS EN CRECIMIENTO,INVERSION,Y,Total Actividades de Inversión
1020302,ANIMALES VIVOS EN PRODUCCION,INVERSION,Y,Total Actividades de Inversión
1020303,PLANTAS EN CRECIMIENTO,INVERSION,Y,Total Actividades de Inversión
1020304,PLANTAS EN PRODUCCION,INVERSION,Y,Total Actividades de Inversión
1020305,(-) DEPRECIACION ACUMULADA DE ACTIVOS BIOLÓGICOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020306,(-) DETERIORO ACUMULADO DE ACTIVOS BIOLOGÍCOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020401,PLUSVALÍAS,INVERSION,Y,Total Actividades de Inversión
1020402,"MARCAS, PATENTES, DERECHOS DE LLAVE , CUOTAS PATRIMONIALES Y OTROS SIMILARES",INVERSION,Y,Total Actividades de Inversión
1020403,CONCESIONES Y LICENCIAS,INVERSION,Y,Total Actividades de Inversión
1020404,ACTIVOS DE EXPLORACION Y EXPLOTACION,INVERSION,Y,Total Actividades de Inversión
1020405,(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLE,OPERACION,V,Gstos que no desenvolso de efectivo
1020406,(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE,OPERACION,V,Gstos que no desenvolso de efectivo
1020407,OTROS INTANGIBLES,INVERSION,Y,Total Actividades de Inversión
10205,ACTIVOS POR IMPUESTOS DIFERIDOS,OPERACION,U,Incremento  (disminución) en otros pasivos
1020601,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,INVERSION,Y,Total Actividades de Inversión
1020603,ACTIVOS FINANCIEROS A COSTO AMORTIZADO,INVERSION,Y,Total Actividades de Inversión
1020604,(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A COSTO AMORTIZADO,OPERACION,V,Gstos que no desenvolso de efectivo
1020605,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,INVERSION,Y,Total Actividades de Inversión
1020606,(-)PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020701,(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,OPERACION,V,Gstos que no desenvolso de efectivo
1020702,(-) DETERIORO ACUMULADO DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,OPERACION,V,Gstos que no desenvolso de efectivo
1020703,DERECHO DE USO POR ACTIVOS ARRENDADOS,OPERACION,P,(Incremento) disminución en otros activos
1020801,DERECHOS FIDUCIARIOS,INVERSION,Y,Total Actividades de Inversión
1020802,DEPÓSITOS EN GARANTÍA,INVERSION,Y,Total Actividades de Inversión
1020803,DEPÓSITOS EN GARANTÍA POR OPERACIONES BURSÁTILES,INVERSION,Y,Total Actividades de Inversión
1020805,ACCIONES DEL DEPÓSITO CENTRALIZADO DE VALORES,INVERSION,Y,Total Actividades de Inversión
1020806,INVERSIONES SUBSIDIARIAS,INVERSION,Y,Total Actividades de Inversión
1020807,INVERSIONES ASOCIADAS,INVERSION,Y,Total Actividades de Inversión
1020808,INVERSIONES NEGOCIOS CONJUNTOS,INVERSION,Y,Total Actividades de Inversión
1020809,OTRAS INVERSIONES,INVERSION,Y,Total Actividades de Inversión
1020810,(-) PROVISIÓN VALUACIÓN DE INVERSIONES,OPERACION,V,Gstos que no desenvolso de efectivo
1020811,OTROS ACTIVOS NO CORRIENTES,INVERSION,Y,Total Actividades de Inversión
1020901,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
1020902,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1020903,OTRAS CUENTAS POR COBRAR NO RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021001,POR COBRAR A ACCIONISTAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021002,POR COBRAR A COMPAÑÍAS RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021003,POR COBRAR A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
1021004,OTRAS CUENTAS POR COBRAR RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
20101,PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,OPERACION,U,Incremento  (disminución) en otros pasivos
20102,PASIVOS POR CONTRATOS DE ARRENDAMIENTO,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201030101,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201030102,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201030103,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201030201,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201030202,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201030203,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010401,LOCALES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010402,DEL EXTERIOR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010501,LOCALES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010502,DEL EXTERIOR,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010601,OBLIGACIONES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010602,PAPEL COMERCIAL,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010603,VALORES DE TITULARIZACIÓN,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010604,OTROS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010605,INTERESES POR PAGAR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
