codigo_super_cias,etiqueta,actividad,columna,categoria
10102030212,NOTAS DE CRÉDITO,INVERSION,Y,Total Actividades de Inversión
10102030213,OBLIGACIONES,INVERSION,Y,Total Actividades de Inversión
10102030214,FACTURAS COMERCIALES NEGOCIABLES,INVERSION,Y,Total Actividades de Inversión
10102030215,OVERNIGHTS,INVERSION,Y,Total Actividades de Inversión
10102030216,OBLIGACIONES CONVERTIBLES EN ACCIONES,INVERSION,Y,Total Actividades de Inversión
10102030217,PAPEL COMERCIAL,INVERSION,Y,Total Actividades de Inversión
10102030218,PAGARÉS,INVERSION,Y,Total Actividades de Inversión
10102030219,PÓLIZAS DE ACUMULACIÓN,INVERSION,Y,Total Actividades de Inversión
10102030220,TÍTULOS DEL BANCO CENTRAL,INVERSION,Y,Total Actividades de Inversión
10102030221,VALORES DE TITULARIZACIÓN,INVERSION,Y,Total Actividades de Inversión
10102030222,INVERSIONES EN EL EXTERIOR,INVERSION,Y,Total Actividades de Inversión
10102030223,OTROS,INVERSION,Y,Total Actividades de Inversión
101020401,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,OPERACION,V,Gstos que no desenvolso de efectivo
101020402,ACTIVOS FINANCIEROS AL COSTO AMORTIZADO,OPERACION,V,Gstos que no desenvolso de efectivo
101020403,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,OPERACION,V,Gstos que no desenvolso de efectivo
10102050101,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
10102050102,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050201,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
10102050202,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
